Year,Korea,Israel,Japan,Turkey,Canada,Mexico,USA,Colombia,Austria,Belgium,CzechRepublic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK,Oceania,Australia,NewZealand
1999,6802,2974,3428,5203,10171,7223,74731,,11035,6472,3035,3460,,31507,18116,8783,3407,3320,28359,,6996,2115,6100,5261,32497,3894,7769,20223,,8027,1737
2000,6811,3819,3373,7636,10839,8295,82267,,9931,6588,2982,4025,,30754,18483,9219,3438,3387,27500,,7217,1992,6100,5257,31454,4034,7500,19544,,8452,2062
2001,6373,,3301,10067,10774,8401,71893,,10118,6903,3106,4600,,29979,18422,9447,3770,3513,25796,1915,6723,2037,4815,5485,32873,4275,7310,16276,,7624,2334
2002,5936,2039,3497,11901,10691,8858,85318,,11137,6890,2964,5859,1578,32738,19002,9989,3274,3097,26873,2184,7706,2179,4314,5761,33783,4710,7888,20549,,8059,3006
2003,5358,2067,8849,13203,10602,9362,83254,,13842,8163,3556,5271,,36617,23125,10766,4061,3862,31247,2979,9249,2506,4069,6580,41770,5304,9169,22668,,10312,3976
2004,6069,2386,11269,15888,12871,10796,74547,,15334,9233,4172,5652,,40841,27668,12872,4061,4398,35656,3659,10333,3087,5833,7846,45248,6056,10556,28221,,13647,4790
2005,5806,2842,6630,18152,13760,11803,81799,,16012,9868,4668,4491,,42276,29173,13731,4271,4744,35398,3632,10475,3495,6274,7712,47970,7427,11040,30675,,16866,4865
2006,5788,2777,8469,16853,14632,12177,85720,,16643,10295,5520,5562,2375,46345,32801,14259,4233,5346,38130,3614,11348,3760,7239,8377,51122,9084,10802,33695,,17840,4738
2007,6138,,9334,18487,15568,12852,96896,,18695,10989,6383,6220,,54273,36038,15513,4721,6066,42651,4022,13305,4522,10599,10145,57645,11997,12181,38602,,22308,5436
2008,9774,4279,10821,21951,15668,13289,110423,,21587,11762,7207,6242,,56573,39912,17114,5935,6294,45727,4485,13342,4911,11768,10943,61628,11206,14401,36028,,24756,5037
2009,9819,3741,10305,21250,13733,11803,94187,,19382,10243,7013,5617,,49528,34650,14506,5631,4959,40249,4169,12368,4154,9011,9635,53177,10260,14131,30149,,24807,4586
2010,10400,4800,13200,20800,15700,12000,103500,,18600,10400,7100,5700,,46900,34700,12700,5400,4100,38800,4100,12900,4700,9500,10100,52500,11000,14900,32400,,29100,4900
2011,12500,5300,11000,25100,16800,11900,115600,,19900,13100,7600,6800,,54800,38900,14600,5600,4200,43000,4800,14300,5300,10700,11300,59900,10400,17100,35100,,31300,5600
2012,13400,5400,14600,25300,17400,12700,161200,,18900,12600,7000,6500,,53700,38100,13400,5100,,41200,4600,12300,5400,10900,11100,58200,10800,16100,36600,,31900,7100
2013,14600,5700,15100,28000,17700,13900,172900,,20200,13300,7000,7000,,56600,41300,16100,5400,4500,43900,5000,13800,5600,11300,12300,62600,11500,16800,41800,,31300,7400
2014,17800,5700,18900,29600,17400,16200,191300,,20800,13900,6800,7600,,58100,43300,17800,5900,4900,45500,5400,14700,5600,11200,13800,65100,11800,17800,46500,,31400,8400
2015,15200,5800,25000,26600,16500,17700,205400,4200,18200,12000,6100,6700,,44900,36900,15700,5300,4800,39400,,13200,4900,10500,12700,56600,11300,16400,45500,,34200,9000
2016,17300,5900,30700,18700,18100,19600,206900,4500,19300,11600,6300,7500,,54500,37500,14600,5700,5200,40200,,14500,5200,11000,14000,60500,12800,16000,47900,,37000,9800
2017,13400,6800,34100,22500,25000,21300,210700,,20500,8400,6900,8500,,58900,39900,16500,6200,5600,44200,,16100,5400,12800,17600,75300,14100,16500,47500,,41700,10600
2018,18600,7200,42100,25200,26900,22500,196500,5600,23100,8900,7400,9100,,65500,43000,19000,6900,6800,49300,6100,17800,5900,13900,20100,81700,10000,18000,50000,,45000,10900
2019,20900,7600,46100,29800,28000,24600,193300,,22900,8900,7300,8700,,63500,41800,20400,7300,6400,49600,5700,18600,5900,13700,20500,79700,9200,17900,52700,,45700,10500
2020,10500,2500,10700,10200,11300,11000,76100,,14000,6600,3600,4000,,32600,22100,4900,3200,1900,19800,4800,9100,1800,7800,8900,18500,4400,9100,18900,,25800,6300
